Data, Stripelength, Nodes, Iterations, Time
44TiS, 1, 2, 200, -1
44TiS, 1, 8, 200, 163
44TiS, 1, 16, 200, 234
44TiS, 16, 1, 200, -1
44TiS, 16, 2, 200, -1
44TiS, 16, 3, 200, 40
44TiS, 16, 4, 50, 18
44Ti, 16, 4, 50, 8.2
44Ti, 16, 6, 50, 7.6
44Ti, 16, 8, 50, 7.6
44Ti, 16, 12, 50, 8.3
44Ti, 16, 16, 50, 9.2
44Ti, 16, 32, 50, 12.6
511, 16, 1, 200, -1
511, 16, 2, 200, -1
511, 16, 4, 200, 10.3
511, 16, 8, 200, 7.5
511, 16, 16, 200, 9.1
511, 16, 32, 200, 13.1
511LL, 16, 1, 200, -1
511LL, 16, 2, 200, -1
511LL, 16, 4, 200, 7.3
511LL, 16, 8, 200, 7.4
511LL, 16, 16, 200, 9.1
511LL, 16, 32, 200, 15.2
